Problem solved, result score: 59818, stop_time: 10, p_start_size: 0.01, max_qsize: 10000.0, Is cover good?: True
Problem solved, result score: 59879, stop_time: 20, p_start_size: 0.01, max_qsize: 10000.0, Is cover good?: True
Problem solved, result score: 59841, stop_time: 30, p_start_size: 0.01, max_qsize: 10000.0, Is cover good?: True
Problem solved, result score: 58607, stop_time: 10, p_start_size: 0.1, max_qsize: 10000.0, Is cover good?: True
Problem solved, result score: 58604, stop_time: 20, p_start_size: 0.1, max_qsize: 10000.0, Is cover good?: True
Problem solved, result score: 58458, stop_time: 30, p_start_size: 0.1, max_qsize: 10000.0, Is cover good?: True
Problem solved, result score: 60257, stop_time: 10, p_start_size: 0.25, max_qsize: 10000.0, Is cover good?: True
Problem solved, result score: 59848, stop_time: 20, p_start_size: 0.25, max_qsize: 10000.0, Is cover good?: False
Problem solved, result score: 59864, stop_time: 30, p_start_size: 0.25, max_qsize: 10000.0, Is cover good?: False
Problem solved, result score: 72928, stop_time: 10, p_start_size: 0.5, max_qsize: 10000.0, Is cover good?: False
Problem solved, result score: 72103, stop_time: 20, p_start_size: 0.5, max_qsize: 10000.0, Is cover good?: False
Problem solved, result score: 71761, stop_time: 30, p_start_size: 0.5, max_qsize: 10000.0, Is cover good?: False
Problem solved, result score: 96777, stop_time: 10, p_start_size: 0.75, max_qsize: 10000.0, Is cover good?: True
Problem solved, result score: 95537, stop_time: 20, p_start_size: 0.75, max_qsize: 10000.0, Is cover good?: False
Problem solved, result score: 94707, stop_time: 30, p_start_size: 0.75, max_qsize: 10000.0, Is cover good?: False
Problem solved, result score: 59845, stop_time: 10, p_start_size: 0.01, max_qsize: 1000000.0, Is cover good?: True
Problem solved, result score: 59904, stop_time: 20, p_start_size: 0.01, max_qsize: 1000000.0, Is cover good?: True
Problem solved, result score: 59851, stop_time: 30, p_start_size: 0.01, max_qsize: 1000000.0, Is cover good?: True
Problem solved, result score: 58489, stop_time: 10, p_start_size: 0.1, max_qsize: 1000000.0, Is cover good?: True
Problem solved, result score: 58570, stop_time: 20, p_start_size: 0.1, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 58565, stop_time: 30, p_start_size: 0.1, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 60093, stop_time: 10, p_start_size: 0.25, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 59877, stop_time: 20, p_start_size: 0.25, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 59527, stop_time: 30, p_start_size: 0.25, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 72924, stop_time: 10, p_start_size: 0.5, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 72272, stop_time: 20, p_start_size: 0.5, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 71452, stop_time: 30, p_start_size: 0.5, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 96749, stop_time: 10, p_start_size: 0.75, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 95591, stop_time: 20, p_start_size: 0.75, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 94499, stop_time: 30, p_start_size: 0.75, max_qsize: 1000000.0, Is cover good?: False
Problem solved, result score: 59836, stop_time: 10, p_start_size: 0.01, max_qsize: 10000000000.0, Is cover good?: True
Problem solved, result score: 59858, stop_time: 20, p_start_size: 0.01, max_qsize: 10000000000.0, Is cover good?: True
Problem solved, result score: 59796, stop_time: 30, p_start_size: 0.01, max_qsize: 10000000000.0, Is cover good?: True
Problem solved, result score: 58605, stop_time: 10, p_start_size: 0.1, max_qsize: 10000000000.0, Is cover good?: True
Problem solved, result score: 58647, stop_time: 20, p_start_size: 0.1, max_qsize: 10000000000.0, Is cover good?: True
Problem solved, result score: 58595, stop_time: 30, p_start_size: 0.1, max_qsize: 10000000000.0, Is cover good?: True
Problem solved, result score: 60157, stop_time: 10, p_start_size: 0.25, max_qsize: 10000000000.0, Is cover good?: False
Problem solved, result score: 59857, stop_time: 20, p_start_size: 0.25, max_qsize: 10000000000.0, Is cover good?: False
Problem solved, result score: 59666, stop_time: 30, p_start_size: 0.25, max_qsize: 10000000000.0, Is cover good?: False
Problem solved, result score: 72973, stop_time: 10, p_start_size: 0.5, max_qsize: 10000000000.0, Is cover good?: False
Problem solved, result score: 72191, stop_time: 20, p_start_size: 0.5, max_qsize: 10000000000.0, Is cover good?: False
Problem solved, result score: 71566, stop_time: 30, p_start_size: 0.5, max_qsize: 10000000000.0, Is cover good?: False
Problem solved, result score: 96667, stop_time: 10, p_start_size: 0.75, max_qsize: 10000000000.0, Is cover good?: False
Problem solved, result score: 95649, stop_time: 20, p_start_size: 0.75, max_qsize: 10000000000.0, Is cover good?: False
Problem solved, result score: 94701, stop_time: 30, p_start_size: 0.75, max_qsize: 10000000000.0, Is cover good?: False
